state_name,pc_no,pc_name,total_electors,male_electors,female_electors,third_gender_electors,previous_turnout_pct,target_turnout_pct
Madhya Pradesh,14,MANDLA (ST),2103244,1051639,1051579,26,77.79207048548456,73.04
Madhya Pradesh,15,BALAGHAT,1875760,932197,943547,16,77.65517826585018,73.72
Madhya Pradesh,16,CHHINDWARA,1634721,826815,807891,15,82.41959409367546,79.93
Madhya Pradesh,17,HOSHANGABAD,1858158,961014,897091,53,74.22036045086543,67.27
Madhya Pradesh,18,VIDISHA,1946631,1008723,937864,44,71.83108215185541,74.81
Madhya Pradesh,19,BHOPAL,2339411,1200649,1138585,177,65.73776833868365,64.12
Madhya Pradesh,20,RAJGARH,1876672,964296,912354,22,74.42061134525821,76.28
Madhya Pradesh,21,DEWAS (SC),1943559,997094,946442,23,79.50545951923968,75.63
Madhya Pradesh,22,UJJAIN (SC),1800347,908828,891441,78,75.4298775183915,73.83
Madhya Pradesh,23,MANDSOUR,1900808,960533,940247,28,77.88940157592106,75.49
Madhya Pradesh,24,RATLAM (ST),2095109,1040520,1054552,37,75.70233459671807,73.23
Madhya Pradesh,25,DHAR (ST),1955117,980272,974800,45,75.25533955415864,72.92
Madhya Pradesh,26,INDORE,2527978,1276189,1251692,97,69.32735750325452,61.82
Madhya Pradesh,27,KHARGONE (ST),2046409,1024261,1022119,29,77.8463626774096,76.18
Madhya Pradesh,28,KHANDWA,2112874,1071562,1041261,51,76.90485606753079,71.7
Madhya Pradesh,29,BETUL (ST),1897989,968795,929158,36,78.18044625502968,73.59
Maharashtra,1,Nandurbar (ST),1971324,993949,977348,27,68.65195267594072,70.76
Maharashtra,2,Dhule,2025275,1055090,970138,47,57.048181690024954,60.33
Maharashtra,3,Jalgaon,2000402,1043600,956717,85,56.55415760588174,58.52
Maharashtra,4,Raver,1823827,943768,880005,54,61.77349270528002,64.36
Maharashtra,5,Buldhana,1787095,937458,849613,24,63.59632155324297,62.12
Maharashtra,6,Akola,1894657,981257,913355,45,60.05809661215687,61.95
Maharashtra,7,Amravati (SC),1838767,946804,891878,85,60.76365003155871,63.89
Maharashtra,8,Wardha,1684292,859907,824371,14,61.5308587303381,65.11
Maharashtra,9,Ramtek (SC),2050952,1046680,1004220,52,62.29599680460004,61.09
Maharashtra,10,Nagpur,2224282,1114033,1110026,223,54.93578258439237,54.49
Maharashtra,11,Bhandara Gondiya,1830399,912639,917746,14,68.81062467845321,67.63
Maharashtra,12,Gadchiroli - Chimur (ST),1618690,816173,802507,10,72.32569816222177,72.15
Maharashtra,13,Chandrapur,1839760,947517,892195,48,64.88816807560302,67.68
Maharashtra,14,Yavatmal- Washim,1942461,1003893,938504,64,61.310572830911426,63.1
Maharashtra,15,Hingoli,1819082,947996,871061,25,66.83668554889489,63.75
Maharashtra,16,Nanded,1853532,956736,896654,142,65.69229033304988,61.18
Maharashtra,17,Parbhani,2124497,1105301,1019163,33,63.12081030491208,62.67
Maharashtra,18,Jalna,1969953,1036430,933471,52,64.75380512205311,69.42
Maharashtra,19,Aurangabad,2061220,1079279,981813,128,63.549656361396266,63.2
Maharashtra,20,Dindori (ST),1857924,964770,893137,17,65.7094087721647,66.85
Maharashtra,21,Nashik,2033175,1061970,971125,80,59.52540603395959,60.87
Maharashtra,22,Palghar (ST),2148850,1125531,1023094,225,63.75673525668222,64.07
Maharashtra,23,Bhiwandi,2087604,1130055,957210,339,53.203798740807365,60.11
Maharashtra,24,Kalyan,2082800,1117966,964048,786,45.31224881414842,50.28
Maharashtra,25,Thane,2508072,1348824,1159041,207,49.38919896765072,52.27
Maharashtra,26,Mumbai North,1812115,969143,842559,413,60.09421191610769,57.2
Maharashtra,27,Mumbai North West,1735295,938548,796687,60,54.369977307141006,55.04
Maharashtra,28,Mumbai North East,1637292,878243,758813,236,57.228237299465654,56.63
Maharashtra,29,Mumbai North Central,1744297,941445,802787,65,53.6818757883696,52.21
Maharashtra,30,Mumbai South Central,1474660,787907,686531,222,55.39531234813035,53.9
Maharashtra,31,Mumbai South,1536443,832822,703578,43,51.58997436583759,50.33
Maharashtra,32,Raigad,1669722,821910,847808,4,62.16604707298703,60.8
Maharashtra,33,Maval,2585776,1349892,1235711,173,59.5913110074497,54.92
Maharashtra,34,Pune,2062172,1058642,1003206,324,49.89122391879081,53.57
Maharashtra,35,Baramati,2374884,1244085,1130683,116,61.821576298445656,59.54
Maharashtra,36,Shirur,2541750,1338746,1202801,203,59.440945167818946,54.2
Maharashtra,37,Ahmednagar,1988934,1039793,949022,119,64.79491736309737,66.73
Maharashtra,38,Shirdi (SC),1680067,867215,812774,78,64.93073123644129,63.12
Maharashtra,39,Beed,2147063,1138690,1008344,29,66.16987833705306,71.01
Maharashtra,40,Osmanabad,1996484,1055756,940647,81,63.756495602569665,64.24
Maharashtra,41,Latur (SC),1980409,1038670,941678,61,62.443199797313454,62.77
Maharashtra,42,Solapur (SC),2031921,1043209,988513,199,58.66884417931212,59.3
Maharashtra,43,Madha,1996298,1040361,955867,70,63.77459056313084,63.87
Maharashtra,44,Sangli,1874176,958871,915181,124,65.92035084674279,62.39
Maharashtra,45,Satara,1899325,968321,930928,76,60.468685504755506,63.19
Maharashtra,46,Ratnagiri- Sindhudurg,1452664,715936,736716,12,61.99294163070728,63.12
Maharashtra,47,Kolhapur,1942725,990857,951777,91,70.85917757868137,71.76
Maharashtra,48,Hatkanangale,1818396,929861,888440,95,70.6036683356271,71.34
Manipur,1,Inner Manipur,1001115,483280,517622,213,81.11842161405664,80.51
Manipur,2,Outer Manipur (ST),1050242,518482,531725,35,84.14008819106564,76.15
Meghalaya,1,Shillong (ST),1402892,686179,716711,2,65.47629582753801,74.03
Meghalaya,2,Tura (ST),827559,417134,410424,1,81.37909873219989,81.74
